MMSI,January,February,March,April,May,June,July,August,September,October,November,December,Total
224523000,0,0,4,7,0,0,0,0,0,0,14,18,43
224651000,12,9,15,14,7,8,0,12,8,0,0,25,110
303137000,9,1,0,0,0,0,2,0,0,11,10,0,33
338622000,0,0,0,0,0,0,0,0,0,1,7,0,8
338712000,0,0,0,0,0,0,0,0,0,4,6,5,15
350107000,6,7,0,0,8,0,0,21,10,23,14,2,91
366020000,0,0,0,0,0,0,0,0,0,0,1,0,1
366827000,0,0,1,0,0,0,2,21,6,16,4,0,50
367179000,0,0,0,0,0,0,0,0,0,1,0,0,1
367359220,0,0,0,0,0,0,6,2,0,0,0,0,8
368489000,0,0,0,0,0,0,0,0,0,7,11,16,34
416017500,0,0,0,0,0,0,8,5,1,3,0,0,17
440233000,0,3,0,0,0,0,0,0,0,0,0,0,3
440410000,0,0,0,0,0,0,10,8,0,0,1,0,19
440444000,0,3,0,0,0,0,0,0,0,0,0,0,3
440450000,0,0,0,0,0,0,0,5,0,3,0,0,8
440462000,0,0,0,0,0,0,0,0,0,1,0,1,2
440492000,0,0,0,0,0,0,0,0,0,0,0,1,1
440542000,0,0,0,0,0,0,0,0,5,5,1,18,29
440552000,0,0,0,0,0,0,0,6,0,0,0,0,6
440968000,0,0,0,0,0,0,0,0,0,0,0,2,2
441066000,0,0,2,0,0,0,1,0,7,8,11,1,30
441446000,0,0,0,0,0,1,1,0,0,0,0,0,2
441493000,0,0,0,0,0,0,3,0,0,0,0,0,3
441853000,0,0,0,0,0,0,0,0,0,5,3,0,8
444080710,0,0,4,1,0,0,0,0,0,0,0,0,5
512000061,0,0,0,0,0,0,0,10,20,0,22,1,53
512000089,0,0,0,0,0,0,6,3,27,6,5,0,47
512085000,0,0,0,0,1,0,1,11,0,0,0,0,13
529417000,0,0,0,0,0,0,0,0,0,0,0,3,3
529676000,0,0,0,0,0,0,0,0,0,0,1,7,8
538060017,0,0,0,0,0,0,0,0,0,0,3,0,3
538060019,0,0,0,0,0,0,0,2,0,0,0,0,2
735057565,0,0,0,0,0,0,0,0,0,0,8,7,15
735058003,0,0,0,0,0,0,0,0,11,15,18,14,58
,,,,,,,,,,,,,
